,name,popularity,cluster
0,Boulevard of Broken Dreams,73,1
1,In The End,66,3
2,Seven Nation Army,76,2
3,By The Way,74,2
4,How You Remind Me,56,1
5,Bring Me To Life,80,3
6,Last Resort,81,3
7,Are You Gonna Be My Girl,76,2
8,Mr. Brightside,80,2
9,Sex on Fire,81,1
10,The Middle,78,2
11,Numb,63,1
12,Smooth Criminal,75,0
13,Can't Stop,81,1
14,Chop Suey!,69,0
15,Take Me Out,77,1
16,I Miss You,71,1
17,Best of You,62,3
18,I Write Sins Not Tragedies,77,0
19,Kryptonite,79,0
20,The Kill (Bury Me),69,3
21,Use Somebody,79,2
22,No One Knows,13,2
23,Jerk It Out,62,0
24,Uprising,77,2
25,Hey There Delilah,79,4
26,Blurry,28,3
27,American Idiot,78,2
28,Welcome to the Black Parade,77,2
29,Gives You Hell,71,2
30,All My Life,11,1
31,Like a Stone,77,0
32,It's Been Awhile,65,1
33,I Hate Everything About You,75,3
34,Rollin' (Air Raid Vehicle),74,1
35,Fat Lip,74,1
36,The Pretender,11,1
37,Savior,73,3
38,Bodies,74,3
39,"Sugar, We're Goin Down",79,1
40,Last Nite,70,2
41,Through Glass,60,3
42,The Diary of Jane - Single Version,69,0
43,Down With the Sickness,73,3
44,Wish You Were Here,62,1
45,Youth Of The Nation,72,1
46,Vertigo,57,2
47,Miss Murder,71,2
48,I Bet You Look Good On The Dancefloor,63,3
49,"Steady, As She Goes",64,1
50,Falling Away from Me,71,2
51,Crawling In The Dark,61,3
52,I Stand Alone,67,2
53,Woman,63,2
54,Show Me How to Live,72,1
55,The Red,71,3
56,Remedy,70,1
57,Plug In Baby,65,2
58,Change (In the House of Flies) - In The House Of Flies LP Version,69,0
59,Judith,66,0
60,MIA (feat. Drake),94,3
61,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",98,3
62,White Boi,59,2
63,Just Wanna Love You (feat. J. Balvin),73,1
64,Beautiful (feat. Camila Cabello),94,2
65,Celoso,87,3
66,Good Vibes,73,1
67,Real Friends,85,3
68,Pa La Calle,61,2
69,Pa Mí,58,0
70,Wake Up in the Sky,92,3
71,Está Rico,83,0
72,Banana Clip - Spanish Version,57,3
73,YAKWTFGO (feat. Kali Uchis),44,3
74,Come With Me,47,1
75,Como Si Na,54,0
76,Blah,47,0
77,Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),64,0
78,Mi Infinita,56,4
79,Coqueta,49,4
80,Sola,65,4
81,Nuestro Planeta (feat. Reykon),52,3
82,Hijo de Su Madre,61,1
83,Lento,65,0
84,Dicen,77,3
85,BEBE,95,2
86,I Like It,95,3
87,Zooted (feat. French Montana & Farruko),74,1
88,Havana - Remix,77,2
89,Pum Pum,45,3
90,Quiero Saber,52,3
91,Como,38,1
92,Anywhere Contigo,46,1
93,No Gratis,44,1
94,Díganle - Tainy Remix,75,3
95,Sangria Wine,75,3
96,All Day,45,2
97,Just As I Am,53,0
98,Nice & Slow,38,3
99,Scooby Doo Pa Pa (Remix),60,2
100,Don't Werk,39,1
101,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88,3
102,Pa Mi (with Ozuna),77,3
103,Lo Siento,68,1
104,Nuestra Cancion Pt. 2 (feat. Arcángel),46,1
105,La Hora Loca,44,0
106,Dinero - English Version,37,0
107,Pum Pum (feat. Kap G & Play-N-Skillz),53,0
108,Hora Loca,65,0
109,Better With You,68,1
110,NIGHTS LIKE THESE,59,2
111,Alright,43,1
112,Insecure,53,0
113,Si Una Vez - (If I Once)[Spanglish Version],54,1
114,Finesse (Remix) [feat. Cardi B],84,3
115,Belong To U,44,2
116,Sunny Daze,40,1
117,"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",41,1
118,Island,37,3
119,Crazy In Love,79,3
120,Rock Your Body,74,3
121,Beautiful Girls,10,1
122,Toxic,60,3
123,Michael Jackson x Mark Ronson: Diamonds are Invincible,70,0
124,Yeah!,79,2
125,Live Your Life (feat. Rihanna),76,0
126,Hips Don't Lie,84,0
127,"Hey, Soul Sister",77,3
128,Pumped Up Kicks,84,3
129,Love Never Felt so Good,74,0
130,Hall of Fame,73,1
131,All of Me,85,4
132,Drops of Jupiter,78,2
133,We Can't Stop,78,3
134,Fighter,69,3
135,Since U Been Gone,75,2
136,Hey Ya! - Radio Mix / Club Mix,76,3
137,TiK ToK,71,3
138,Look At Me Now,71,0
139,SexyBack,77,0
140,With You,69,2
141,Breakeven,76,1
142,I Know You Want Me (Calle Ocho),65,2
143,Bye Bye Bye,73,0
144,Complicated,77,1
145,Let Me Love You,80,0
146,Beautiful,73,5
147,Raise Your Glass,54,1
148,Timber,75,1
149,What Makes You Beautiful,69,2
150,No One,79,3
151,Sk8er Boi,67,2
152,Womanizer,76,1
153,Give Me Everything,75,1
154,Single Ladies (Put a Ring on It),72,2
155,Bleeding Love,81,1
156,Lose My Breath,63,2
157,Love Song,77,3
158,Ms. Jackson,78,3
159,Die Young,72,3
160,Survivor,62,1
161,Oops!...I Did It Again,77,3
162,Cry Me a River,77,0
163,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77,3
164,Whatever You Like,75,0
165,"One, Two Step",78,3
166,Unwritten,77,1
167,Wrecking Ball,74,4
168,So What,65,1
169,"Whenever, Wherever",76,3
170,Baby Boy,69,2
171,It's Gonna Be Me,67,3
172,My Boo,77,1
174,Stronger (What Doesn't Kill You),52,2
175,Over My Head (Cable Car),60,1
176,For the First Time,65,1
177,Girlfriend,69,1
178,Fallin',76,0
180,How to Save a Life,83,1
181,Not Over You,69,1
182,Before He Cheats,73,3
183,Dirrty (feat. Redman),72,2
184,Caught Up,31,1
185,If I Ain't Got You,81,4
186,Wherever You Will Go,67,2
187,You Found Me,76,0
188,"Independent Women, Pt. 1",63,3
189,Because of You,75,3
190,Get The Party Started,67,0
191,The Anthem,73,2
192,I Don't Want to Be,63,3
193,The Way You Move (feat. Sleepy Brown) - Club Mix,68,3
194,Better in Time,73,1
195,Over You,64,2
196,The Great Escape,67,3
197,Your Body Is a Wonderland,78,1
198,Superman (It's Not Easy),48,2
199,Vivir Mi Vida,68,1
200,La Vida Es Un Carnaval,24,1
201,Lambada - Original Version 1989,67,1
202,La Camisa Negra,29,3
203,La Gota Fría,66,2
204,Suavemente,63,1
205,Bailando - Spanish Version,71,1
206,Danza Kuduro,71,2
207,Conga,59,2
208,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,66,2
209,Guantanamera,58,4
210,El Matador,11,3
211,Amor Prohibido,61,1
213,Mi Gente,77,0
214,Obsesion,74,3
215,Let's Get Loud,70,3
216,Oye Como Va,56,1
217,Despacito (Featuring Daddy Yankee),80,2
218,Bamboleo,54,3
219,Pedro Navaja,60,0
220,Gasolina,77,2
221,Mambo No 5,52,5
222,De Música Ligera,51,2
223,Macarena,62,1
224,La Bamba,57,2
225,Querida,4,2
226,Maria Maria - Radio Mix,56,2
227,La ingrata,65,1
228,Corazón partio,74,2
229,I Know You Want Me (Calle Ocho),7,2
230,Livin' la Vida Loca,73,3
231,Rebelión,43,0
232,La Maza,58,5
233,Amor Eterno,59,2
234,Besame Mucho,7,5
235,Mais Que Nada,52,3
236,El Cantante,58,0
237,Chan Chan,7,5
238,Amigo,41,0
239,The Girl From Ipanema - Stereo Version,50,5
240,Oye Mi Amor,63,0
241,Latinoamérica,68,3
242,"Soy un Truhán, Soy un Señor",50,2
243,Mediterraneo,60,0
244,Gracias a la Vida,52,4
245,La Cumparsita,42,4
246,Paloma negra,50,4
247,El Rey,40,1
248,Feliz Navidad,57,2
249,All Along the Watchtower,78,1
250,My Generation - Stereo Version,69,3
251,(I Can't Get No) Satisfaction,48,2
252,"Hello, I Love You",63,0
253,Whole Lotta Love,77,1
254,Hey Jude - Remastered 2015,77,1
255,White Room,71,3
256,You Really Got Me - Mono Mix,71,1
257,Surfin' U.S.A. - Remastered,70,2
258,"Oh, Pretty Woman",71,1
259,Back In The U.S.S.R. - 2018 Mix,61,1
260,For What It's Worth,75,2
261,Fortunate Son,81,2
262,Born To Be Wild - Single Version,67,2
263,House Of The Rising Sun,70,0
264,Louie Louie,68,3
265,I Heard It Through The Grapevine - Single Version (Mono),61,1
266,Crimson And Clover - Single Version,56,1
267,Evil Ways,59,1
268,Purple Haze,71,2
269,California Dreamin' - Single Version,73,3
270,Like a Rolling Stone,72,2
271,Suite: Judy Blue Eyes - Remastered,64,4
272,Turn! Turn! Turn! (To Everything There Is a Season),65,2
273,I Saw Her Standing There - Remastered 2009,68,2
274,Light My Fire,71,3
275,Pinball Wizard,69,2
276,The Sounds of Silence,54,1
277,Green Onions,66,4
278,Sweet Caroline - Single Version,58,4
279,Good Lovin' - Single Version,52,2
280,The Twist,60,2
281,Sunshine Of Your Love,72,2
282,Hit the Road Jack,13,0
283,Proud Mary,30,2
284,Dazed And Confused,63,2
285,Summertime Blues,37,0
286,I Want To Hold Your Hand - Remastered 2015,74,1
287,Runaround Sue,64,2
288,All Day and All of the Night - 2014 Remastered Version,38,1
289,River Deep - Mountain High,51,4
290,Summer in the City - Remastered,63,1
291,Jumpin' Jack Flash - Mono / Remastered,21,2
292,Foxey Lady,62,3
293,Somebody to Love,69,2
294,Time Has Come Today,53,2
295,Heart Full of Soul,63,0
296,Do You Believe in Magic?,66,2
297,"Paint It, Black - Mono",67,3
298,Good Vibrations - Remastered,70,0
299,Psychotic Reaction,55,1
300,Yesterday - Remastered 2009,74,4
301,Nights In White Satin - Single Version / Mono Mix,66,5
302,Space Oddity - 2015 Remastered Version,72,2
303,Magic Carpet Ride,68,3
304,Needles and Pins - Mono,58,1
305,The Weight - Remastered,55,1
306,Bring It On Home to Me,71,4
307,Bad Moon Rising,71,2
308,Crying,59,4
309,Revolution - Remastered,67,1
310,Shop Around,54,4
311,I Fought The Law,57,1
312,The Times They Are A-Changin',70,4
313,Honky Tonk Women,57,1
314,The End - Remastered,49,4
315,She Loves You - Mono / Remastered,67,3
316,Heartbreaker,64,1
317,Brown Eyed Girl,80,1
318,Gimme Shelter,75,3
319,Touch Me,63,2
320,Surf City - Remastered 1990 / Stereo Remix,47,1
321,White Rabbit,70,4
322,Green River,60,1
323,I Get Around (Mono) - Mono,66,0
324,Mr. Tambourine Man,61,2
325,With A Little Help From My Friends - Remastered 2009,67,2
326,Hush - 2014 Remastered Version,38,1
327,For Your Love,53,2
328,Street Fighting Man,58,2
329,Blowin' In the Wind,68,4
330,In My Room - Remastered,50,1
331,I'm A Man,14,1
