,userID,songList
0,1,Asesina
1,1,Be Alright
2,1,ZEZE (feat. Travis Scott & Offset)
3,1,Moonlight
4,1,God's Plan
5,1,In My Mind
6,1,Shotgun
7,1,Solo (feat. Demi Lovato)
8,1,Natural
9,1,I Love It (& Lil Pump)
10,1,God is a woman
11,1,Taste (feat. Offset)
12,1,Nonstop
13,1,no tears left to cry
14,1,SICKO MODE
15,1,No Brainer
16,1,Te Boté - Remix
17,1,BEBE
18,1,One Kiss (with Dua Lipa)
19,1,The Hand That Feeds
20,1,Closer
21,1,"Thunderclouds (with Sia, Diplo & Labrinth)"
22,1,One Step Closer
23,1,SAD!
24,1,Happier
25,1,Ya No Tiene Novio
26,1,Numb
27,1,breathin
28,1,Sin Pijama
29,1,Thunder
30,1,Cuando Te Besé
31,1,Believer
32,1,No Me Acuerdo
33,1,Lucky You (feat. Joyner Lucas)
34,1,Killing In The Name
35,26111143ecd7db84f4c480fb5f44872bcde02409290e97ddd656b2c72461d1cd,Ya No Tiene Novio
36,26111143ecd7db84f4c480fb5f44872bcde02409290e97ddd656b2c72461d1cd,No Brainer
37,26111143ecd7db84f4c480fb5f44872bcde02409290e97ddd656b2c72461d1cd,lovely (with Khalid)
38,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Eastside (with Halsey & Khalid)
39,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Taste (feat. Offset)
40,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Yes Indeed
41,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Sin Pijama
42,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,FEFE (feat. Nicki Minaj & Murda Beatz)
43,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Noticed
44,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Natural
45,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Falling Down
46,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Electricity (with Dua Lipa)
47,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Let Me Down Slowly
48,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Taking A Walk
49,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Better
50,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Beautiful (feat. Camila Cabello)
51,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,BEBE
52,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,I Love It (& Lil Pump)
53,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,lovely (with Khalid)
54,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Estamos Bien
55,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,I Like It
56,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Lucid Dreams
57,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Jackie Chan
58,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Praise The Lord (Da Shine)
59,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Clandestino
60,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,rockstar (feat. 21 Savage)
61,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,ocean eyes
62,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,MIA (feat. Drake)
63,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,No Brainer
64,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Girls Like You (feat. Cardi B)
65,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,1-800-273-8255
66,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
67,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,"i hate u, i love u (feat. olivia o'brien)"
68,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Wake Up in the Sky
69,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Get You (feat. Kali Uchis)
70,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,In My Feelings
71,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Idfc
72,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Jocelyn Flores
73,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,God is a woman
74,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Stairway To Heaven
75,e737c7466c220fcd45927b7c133f033c00b3d315c82d711442b38b64adc38b8c,Rise
